id,title,height,width,depth,author,cover_type,weight,count
1,"Elektronische Halbleiterbauelemente",0.1865,0.1260,0.0265,"R. Paul","soft",0.5020,1
2,"Innovations-management",0.2280,0.1480,0.0395,"Jürgen Hauschildt,Sören Salomo","hard",0.9180,1
3,"TECHNIK-WÖRTERBUCH Künstliche Intelligenz",0.1940,0.1250,0.0150,"Dr. rer. nat. Werner Kolbe","hard",0.2180,1
4,"Der Kleine DUDEN",0.1670,0.1100,0.0290,"","soft",0.3000,1
